匂,にお∙う fragrant
紘,おおづな/コウ large
矧,は∙ぐ/シン feather (arrow)
囁,ささや∙く/ショウ whisper
翻,ひるがえ∙る/ホン flip
滞,とどこお∙る/タイ stagnate
牝,めす/ヒン female
侮,あなどる/ブ 
錯,サク confused
老,お∙いる/ロウ old man
裝,よそお∙う/ソウ dress
炒,い∙る/ソウ broil
訃,しらせ/フ obituary
湊,みなと/ソウ port
游,あそ∙び/ユウ float
伏,ふ∙せる/フク prostrated
貝,かい/バイ shellfish
頌,かたち/ショウ eulogy
貪,むさぼ∙る/タン covet
旅,たび/リョ trip
豐,ゆた∙か/ホウ bountiful
戲,たわむ∙れる/ギ play
場,ば/ジョウ location
逃,に∙げる/トウ escape
瘤,こぶ/リュウ lump
座,すわ∙る/ザ squat
総,す∙べて/ソウ general
涯,はて/ガイ horizon
敵,かたき/テキ enemy
涎,よだれ/セン saliva
俠,おとこだて/キョウ chivalrous person
附,つ∙ける/フ affixed
腸,はらわた/チョウ intestines
英,はなぶさ/エイ England
怒,いか∙る/ド angry
遠,とお∙い/エン distant
項,うなじ/コウ paragraph
訓,おし∙える/クン instruction
蒸,む∙す/ジョウ steam
誦,とな∙える/ショウ recite
臺,うてな/ダイ stand
虛,むなしい/キョ false
乘,の∙る/ジョウ power
麺,むぎこ/メン noodles
亥,い/ガイ sign of the hog
經,へ∙る/ケイ classic works
靡,なび∙く/ヒ flutter
勁,つよ∙い/ケイ strong
轡,くつわ/ヒ bit (horse)
剖,ボウ divide
酪,ラク dairy products
氷,こおり/ヒョウ icicle
椋,むく/リョウ type of deciduous tree
臓,はらわた/ゾウ entrails
聟,むこ/セイ son-in-law
謎,なぞ/メイ riddle
恆,つね∙に/コウ constant
琥,コ jewelled utensil
氣,いき/キ spirit
昴,すばる/コウ the Pleiades
伺,うかが∙う/シ pay respects
情,なさ∙け/ジョウ feelings
紛,まぎ∙れる/フン distract
鰕,えび/カ shrimp
環,わ/カン ring
槿,むくげ/キン rose of Sharon
拷,ゴウ torture
佳,カ excellent
讐,あだ/シュウ enemy
鬭,たたか∙う/トウ struggle
壯,さかん/ソウ big
銚,なべ/チョウ sake bottle
澄,す∙む/チョウ lucidity
銅,あかがね/ドウ copper
丕,おお∙きい/ヒ large
儉,つま∙しい/ケン economy
頑,かたく/ガン stubborn
