匂,にお∙う fragrant
劉,ころ∙す/リュウ weapon of war
櫻,さくら/オウ cherry
隱,かく∙す/イン hide
搾,しぼ∙る/サク squeeze
来,く∙る/ライ come
怪,あや∙しい/カイ suspicious
踵,かかと/ショウ heel
硬,かた∙い/コウ stiff
観,み∙る/カン outlook
梶,かじ/ビ sculling oar
捌,さば∙く/ハツ handle
自,みずか∙ら/ジ oneself
陣,ジン camp
沌,くら∙い/トン primeval chaos
梵,ボン Sanskrit
粘,ねば∙る/ネン sticky
初,はじ∙め/ショ first time
杵,きね/ショ wooden pestle
蟬,せみ/セン cicada
匕,さじ/ヒ spoon
謗,そし∙る/ボウ slander
于,ここに/ウ going
扮,ふん∙する/フン impersonate
和,やわ∙らぐ/ワ harmony
舩,ふね/セン boat
賜,たまわ∙る/シ grant
霜,しも/ソウ frost
格,カク status
響,ひび∙く/キョウ echo
叡,あき∙らか/エイ intelligence
嬰,ふ∙れる/エイ sharp (music)
客,キャク guest
鷄,にわとり/ケイ chicken
寧,むし∙ろ/ネイ rather
貿,ボウ trade
帛,きぬ/ハク cloth
薰,かおる/クン a medicinal herb
廟,たまや/ビョウ mausoleum
蜘,くも/チ spider
漢,カン 
忙,いそが∙しい/ボウ busy
穀,コク 
鯣,するめ/エキ cuttlefish
昧,くら∙い/マイ dark
飢,う∙える/キ hungry
経,へ∙る/ケイ sutra
謄,トウ mimeograph
由,よし/ユ wherefore
棲,す∙む/セイ live
席,むしろ/セキ seat
允,じょう/イン license
羞,はじ∙る/シュウ feel ashamed
眞,ま/シン truth
拍,ハク clap
唸,うな∙る/テン groan
恨,うら∙む/コン regret
管,くだ/カン pipe
禍,カ 
勝,か∙つ/ショウ victory
觀,み∙る/カン outlook
首,くび/シュ neck
橙,だいだい/トウ bitter orange
韻,イン rhyme
殴,なぐ∙る/オウ assault
效,き∙く/コウ result
蠻,えびす/バン barbarian
獲,え∙る/カク seize
舷,ふなばた/ゲン gunwale
頗,すこぶ∙る/ハ prejudiced
官,カン bureaucrat
洪,コウ deluge
矛,ほこ/ム halberd
膚,はだ/フ skin
組,く∙む/ソ association
欽,つつし∙む/キン respect
景,ケイ scenery
蔽,おお∙う/ヘイ cover
囲,かこ∙む/イ surround
幾,いく-/キ how many
椛,かば autumn foliage
桧,ひのき/カイ Japanese cypress
刊,カン publish
壬,みずのえ/ニン 9th calendar sign
孔,あな/コウ cavity
他,ほか/タ other
掴,つか∙む/カク catch
晒,さら∙す/サイ bleach
沸,わ∙く/フツ seethe
狙,ねら∙う/ソ aim at
呻,うめ∙く/シン moan
葭,よし/カ reed
慶,よろこ∙び/ケイ jubilation
甥,おい/セイ nephew
甦,よみがえ∙る/ソ be resuscitated
騰,あが∙る/トウ leaping up
鞄,かばん/ハク suitcase
憬,あこが∙れる/ケイ yearn for
臥,ふせ∙る/ガ bend down
宜,よろ∙しい/ギ best regards
古,ふる∙い/コ old
怨,うら∙む/エン grudge
携,たずさ∙える/ケイ portable
想,おも∙う/ソウ concept
襷,たすき cord to hold up sleeves
腦,のうずる/ノウ brain
枯,か∙れる/コ wither
邸,やしき/テイ residence
鳴,な∙く/メイ chirp
伶,わざおぎ/レイ actor
祐,たす∙ける/ユウ help
襞,ひだ/ヘキ pleat
階,きざはし/カイ storey
桟,かけはし/サン scaffold
鯔,ぼら/シ mullet (fish)
銑,セン pig iron
龍,たつ/リュウ dragon
餘,あま∙る/ヨ surplus
顧,かえり∙みる/コ look back
槍,やり/ソウ spear
屁,へ/ヒ fart
步,あるく/ホ step
宗,むね/シュウ religion
絣,かすり/ホウ splashed pattern (on cloth)
籐,トウ rattan
誓,ちか∙う/セイ vow
臣,シン retainer
舞,ま∙う/ブ dance
器,うつわ/キ 
近,ちか∙い/キン near
爭,あらそ∙う/ソウ to dispute
斎,とき/サイ purification
迭,テツ transfer
乃,の/ナイ from
灼,あらた/シャク miraculous
般,ハン carrier
傀,おおき∙い/カイ large
體,からだ/タイ the body
嶽,たけ/ガク peak
鉉,つ∙る/ケン handle
齊,そろ∙う/セイ alike
崎,さき/キ promontory
褄,つま skirt
刷,す∙る/サツ printing
暢,のび∙る/チョウ stretch
免,まぬかれる/メン 
藏,くら/ゾウ hide
河,かわ/カ river
題,ダイ topic
杞,コ river willow
嬲,なぶ∙る/ドウ sport with
網,あみ/モウ netting
逮,タイ apprehend
紋,モン family crest
翁,おきな/オウ venerable old man
胚,はらみ/ハイ embryo
凱,かちどき/ガイ victory song
低,ひく∙い/テイ lower
時,とき/ジ time
菓,カ candy
肖,あやか∙る/ショウ resemblance
具,そな∙える/グ tool
泉,いずみ/セン spring
因,よ∙る/イン cause
垢,あか/コウ dirt
勉,つと∙める/ベン exertion
鎭,しず∙める/チン ancient peace-preservation centers
磯,いそ/キ seashore
埒,らち∙があく/レツ picket
魁,さきがけ/カイ charging ahead of others
雌,め-/シ feminine
梢,こずえ/ショウ treetops
饗,う∙ける/キョウ banquet
幹,みき/カン tree trunk
酵,コウ fermentation
冶,い∙る/ヤ melting
幽,ふか∙い/ユウ seclude
瞬,またた∙く/シュン wink
豆,まめ/トウ beans
樂,たの∙しい/ガク music
袴,はかま/コ men's formal divided skirt
爆,は∙ぜる/バク bomb
蟻,あり/ギ ant
安,やす∙い/アン relax
褒,ほ∙める/ホウ praise
旦,あき∙らか/タン daybreak
餐,の∙む/サン eat
搬,ハン conveyor
禽,とり/キン bird
側,かわ/ソク side
釜,かま/フ kettle
隔,へだ∙てる/カク isolate
賂,まいな∙い/ロ bribe
貫,つらぬ∙く/カン pierce
之,の/シ of
拂,はら∙う/ヒツ clear out
胸,むね/キョウ bosom
型,かた/ケイ mould
溝,みぞ/コウ gutter
根,ね/コン root
鼠,ねずみ/ソ rat
善,よ∙い/ゼン virtuous
皆,みな/カイ all
翳,かげ/エイ hold aloft
柩,ひちぎ/キュウ bier
鎧,よろ∙う/カイ put on armor
柘,そ/シャ wild mulberry
竦,すく∙む/ショウ crouch
弊,ヘイ abuse
架,か∙ける/カ erect
愁,うれ∙える/シュウ distress
直,ただ∙ちに/チョク straightaway
勅,いまし∙める/チョク imperial order
没,おぼ∙れる/ボツ drown
壮,さかん/ソウ robust
煌,きらめ∙く/コウ glitter
脚,あし/キャク skids
智,チ wisdom
芭,バ banana
數,かず/スウ number
横,よこ/オウ sideways
恐,おそ∙れる/キョウ fear
藪,やぶ/ソウ thicket
丘,おか/キュウ hill
軸,ジク axis
賓,ヒン V.I.P.
蔡,サイ type of tortoise used for divination
亮,あきらか/リョウ clear
敲,たた∙く/コウ strike
授,さず∙ける/ジュ impart
轉,ころ∙がる/テン shift
享,う∙ける/キョウ enjoy
遙,はる∙か/ヨウ far off
県,か∙ける/ケン prefecture
縮,ちぢ∙む/シュク shrink
致,いた∙す/チ doth
逐,チク pursue
獵,かり/リョウ hunt
擧,あ∙げる/キョ raise
嗤,わら∙う/シ laugh
捉,とら∙える/ソク catch
屍,しかばね/シ corpse
梛,なぎ/ダ type of tall evergreen tree
賦,フ levy
鄕,さと/キョウ country
突,つく/トツ 
黙,だま∙る/モク silence
洋,ヨウ ocean
旬,ジュン decameron
巾,おお∙い/キン towel
境,さかい/キョウ boundary
電,デン electricity
迫,せま∙る/ハク urge
墜,お∙ちる/ツイ crash
仆,たお∙れる/フ fall
彷,さまよ∙う/ホウ stray
歿,しぬ/ボツ die
梯,はしご/テイ ladder
許,ゆる∙す/キョ permit
盾,たて/ジュン shield
訥,ども∙る/トツ stutter
獄,ゴク prison
破,やぶ∙る/ハ rend
隨,まにまに/ズイ at the mercy of (the waves)
煕,たのし∙む/キ shine
欣,よろこ∙ぶ/キン take pleasure in
影,かげ/エイ shadow
森,もり/シン forest
重,え/ジュウ heavy
箭,や/セン arrow
集,あつ∙まる/シュウ gather
砧,きぬた/チン fulling block
酉,とり/ユウ west
戎,えびす/ジュウ warrior
莉,リ jasmine
袂,たまと/ベイ sleeve
樓,たかどの/ロウ tower
追,お∙う/ツイ chase
膨,ふく∙らむ/ボウ swell
祷,いの∙る/トウ pray
喊,さけ∙ぶ/カン cry
賓,ヒン 
橇,そり/キョウ sled
販,ハン marketing
扉,とびら/ヒ front door
餃,ギョウ gyoza
考,かんが∙える/コウ consider
帷,とばり/イ curtain
聞,き∙く/ブン hear
舗,ホ shop
荘,ほうき/ソウ villa
枡,ます measuring box
楓,かえで/フウ maple
哭,なげ∙く/コク weep
斡,めぐ∙る/アツ go around
煮,に∙る/シャ boil
君,きみ/クン mister
徐,おもむ∙ろに/ジョ gradually
癌,ガン cancer
捜,さが∙す/ソウ search
依,よ∙る/イ reliant
鉈,なた/シャ hatchet
撃,う∙つ/ゲキ beat
弐,ふた∙つ/ニ II
麩,ふすま/フ light wheat-gluten bread
耗,モウ decrease
蹟,あと/セキ remains
咀,か∙む/ソ bite
覧,み∙る/ラン perusal
凛,きびし∙い/リン cold
逸,そ∙れる/イツ deviate
較,くら∙べる/カク contrast
僧,ソウ 
仄,ほの∙か/ソク be seen dimly
号,さけ∙ぶ/ゴウ nickname
染,そ∙める/セン dye
槪,とかき/ガイ generally
斂,おさ∙める/レン tighten
憲,ケン constitution
埴,はに/ショク clay
学,まな∙ぶ/ガク study
神,かみ/シン spirit
綜,おさ∙める/ソウ rule
俵,たわら/ヒョウ bag
叱,しか∙る/シツ scold
味,あじ/ミ flavor
從,したが∙う/ジュウ from
歡,よろこ∙ぶ/カン delight
壘,とりで/ルイ fort
殿,との/デン Mr.
史,シ history
盗,ぬす∙む/トウ steal
塵,ちり/チン dust
綠,みどり/リョク green
佛,ほとけ/ブツ France
減,へ∙る/ゲン dwindle
上,うえ/ジョウ above
筆,ふで/ヒツ writing brush
胎,タイ womb
虎,とら/コ tiger
崗,おか/コウ hill
鰹,かつお/ケン bonito
国,くに/コク country
寵,めぐ∙み/チョウ affection
忘,わす∙れる/ボウ forget
博,ハク Dr.
鷹,たか/ヨウ hawk
径,みち/ケイ diameter
鮮,あざ∙やか/セン fresh
忽,たちま∙ち/コツ in a moment
嶌,しま/トウ island
彬,うるわ∙しい/ヒン refined
翌,ヨク the following
膏,あぶら/コウ fat
挺,ぬ∙く/チョウ counter for guns, inksticks, palanquins, rickshaws
巌,いわ/ガン rock
倖,しあわ∙せ/コウ happiness
敏,さとい/ビン cleverness
像,ゾウ statue
奈,いかん/ナ Nara
絃,いと/ゲン string
郁,イク cultural progress
甕,かめ/オウ jar
窄,すぼ∙める/サク narrow
祝,いわう/シュウ 
氾,ひろ∙がる/ハン spread out
犀,サイ rhinocerous
撮,と∙る/サツ snapshot
荀,ジュン type of plant
颯,さっ∙と/サツ sudden
打,う∙つ/ダ strike
搜,さが∙す/ソウ search
塀,ヘイ 
罠,わな/ビン trap
章,ショウ badge
濃,こ∙い/ノウ concentrated
新,あたら∙しい/シン new
売,う∙る/バイ sell
辿,たど∙る/テン follow (road)
罹,かか∙る/リ catch
競,きそ∙う/キョウ emulate
粕,かす/ハク scrap
劾,ガイ censure
雰,フン atmosphere
償,つぐな∙う/ショウ reparation
礫,つぶて/レキ small stones
哀,あわ∙れ/アイ pathetic
蕨,わらび/ケツ bracken
択,えら∙ぶ/タク choose
詔,みことのり/ショウ imperial edict
萊,あかざ/ライ goosefoot
大,おお-/ダイ large
婆,ばば/バ old woman
侶,とも/リョ companion
隅,すみ/グウ corner
児,こ/ジ newborn babe
帆,ほ/ハン sail
趣,おもむき/シュ purport
曳,ひ∙く/エイ pull
杭,くい/コウ stake
烹,に∙る/ホウ boil
個,コ individual
武,たけ∙し/ブ warrior
巻,ま∙く/カン scroll
衝,つ∙く/ショウ collide
禪,しずか/ゼン Zen Buddhism
準,じゅん∙じる/ジュン semi-
期,キ period
欧,うた∙う/オウ Europe
渋,しぶ/ジュウ astringent
塩,しお/エン salt
舘,やかた/カン mansion
王,オウ king
蕎,そば/キョウ buckwheat
廣,ひろ∙い/コウ broad
霧,きり/ム fog
捻,ね∙じる/ネン twirl
硫,リュウ sulphur
蜜,ミツ honey
運,はこ∙ぶ/ウン carry
酸,す∙い/サン acid
躓,つまず∙く/チ stumble
泊,と∙まる/ハク overnight stay
呵,か∙す/カ scold
諏,そう/シュ consult
緣,ふち/エン hem
赳,キュウ strong and brave
索,サク cord
蔵,くら/ゾウ storehouse
籠,かご/ロウ basket
制,セイ system
敏,ビン 
慢,マン ridicule
鍛,きた∙える/タン forge
槻,つき/キ Zelkova tree
搖,ゆ∙れる/ヨウ wag
離,はな∙れる/リ detach
共,とも/キョウ together
邦,くに/ホウ home country
簪,かんざし/シン ornamental hairpin
倍,バイ double
丙,ひのえ/ヘイ third class
憂,うれ∙える/ユウ melancholy
監,カン oversee
閤,くぐりど/コウ small side gate
廉,レン bargain
啄,ついば∙む/タク peck
楠,くす/ナン camphor tree
意,イ idea
躅,チョク tap with the feet
披,ヒ expose
肱,かいな/コウ ability
不,フ negative
某,それがし/ボウ so-and-so
倹,つま∙しい/ケン frugal
仁,ジン humanity
苔,こけ/タイ moss
毛,け/モウ fur
繍,ぬいとり/シュウ sew
塔,トウ pagoda
豫,あらかじ∙め/ヨ relaxed
圓,まる∙い/エン yen
扶,たす∙ける/フ aid
滸,ほとり/コ vicinity
攝,おさ∙める/セツ surrogate
臼,うす/キュウ mortar
茎,くき/ケイ stalk
鄙,ひな/ヒ lowly
羌,ああ/キョウ barbarian
鯨,くじら/ゲイ whale
溪,たに/ケイ valley
虹,にじ/コウ rainbow
素,もと/ソ elementary
撲,ボク slap
汚,けが∙す/オ dirty
逸,しんにょう 
置,お∙く/チ placement
微,かす∙か/ビ delicate
気,いき/キ spirit
凸,でこ/トツ convex
崋,カ name of mountain
溶,と∙ける/ヨウ melt
葱,ねぎ/ソウ stone leek
姓,セイ surname
稿,わら/コウ draft
贊,たす∙ける/サン help
伎,わざ/ギ deed
棘,いばら/キョク thorn
早,はや∙い/ソウ early
壤,つち/ジョウ soil
延,の∙びる/エン prolong
璧,たま/ヘキ sphere
嵐,あらし/ラン storm
香,か/コウ incense
鳶,とび/エン black kite
麟,リン Chinese unicorn
映,うつ∙る/エイ reflect
顔,かお/ガン face
濱,はま/ヒン beach
昆,コン descendants
坦,たいら/タン level
杯,さかずき/ハイ counter for cupfuls
嚼,か∙む/シャク bite
憤,いきどお∙る/フン aroused
狸,たぬき/リ tanuki
庸,ヨウ commonplace
音,おと/オン sound
酷,ひど∙い/コク cruel
夷,えびす/イ barbarian
祁,キ intense
発,た∙つ/ハツ departure
諾,ダク consent
系,ケイ lineage
反,そ∙る/ハン anti-
留,と∙める/リュウ detain
奕,エキ large
兌,よろこ∙ぶ/ダ exchange
券,ケン ticket
隋,ズイ name of a Chinese dynasty
恩,オン grace
鶴,つる/カク crane
熄,き∙える/ソク cessation
拿,つか∙む/ダ catch
昏,くら∙い/コン dark
萄,ドウ grape vine
濫,みだ∙りに/ラン excessive
莖,くき/ケイ stem
蠍,さそり/カツ scorpion
脅,おびや∙かす/キョウ threaten
晃,あきらか/コウ clear
斃,たお∙れる/ヘイ kill
碍,さまた∙げる/ガイ obstacle
告,つ∙げる/コク revelation
托,たく∙する/タク requesting
帳,とばり/チョウ notebook
鼎,かなえ/テイ three legged kettle
嶮,けわ∙しい/ケン inaccessible place
縫,ぬ∙う/ホウ sew
峡,はざま/キョウ gorge
粥,かゆ/イク rice gruel
吉,よし/キチ good luck
空,そら/クウ empty
馨,かお∙る/ケイ fragrant
恫,いた∙む/ドウ painful
綱,つな/コウ hawser
覚,おぼ∙える/カク memorize
鮫,さめ/コウ shark
驚,おどろ∙く/キョウ wonder
璽,ジ emperor's seal
晟,あきらか/セイ clear
呟,つぶや∙く/ゲン mutter
亙,わた∙る/コウ range
贋,にせ/ガン counterfeit
夏,なつ/カ summer
乎,か/コ question mark
既,すで∙に/キ previously
洒,すす∙ぐ/シャ wash
出,で∙る/シュツ exit
先,さき/セン before
道,みち/ドウ road-way
府,フ borough
端,はし/タン edge
煉,ね∙る/レン refine metals
防,ふせ∙ぐ/ボウ ward off
炸,タク frying
殲,つく∙す/セン massacre
傑,すぐ∙れる/ケツ greatness
詮,せん∙ずる/セン discussion
呆,ほけ∙る/ホウ be amazed
弛,たる∙む/チ slacken
旨,むね/シ delicious
翅,はね/シ (insect) wings
狡,ずる∙い/コウ cunning
塁,とりで/ルイ bases
莞,い/カン smiling
功,いさお/コウ achievement
潜,ひそ∙む/セン submerge
鰻,うなぎ/マン eel
成,な∙る/セイ turn into
内,うち/ナイ inside
潮,しお/チョウ tide
檮,トウ stump
牽,ひ∙く/ケン pull
矜,あわ∙れむ/キン pride
治,おさ∙める/ジ reign
陥,おちい∙る/カン collapse
相,あい-/ソウ inter-
貰,もら∙う/セイ get
閉,と∙じる/ヘイ closed
生,い∙きる/セイ life
楢,なら/シュウ oak
復,また/フク restore
戌,いぬ/ジュツ sign of the dog
都, 
躑,しゃが∙む/テキ squat
蔣,まこも/ショウ surname
麗,うるわ∙しい/レイ lovely
舳,へ/ジク bow
焔,ほのお/エン flame
滔,はびこ∙る/トウ overflowing
頬,ほお/キョウ cheeks
脊,せ/セキ stature
媛,ひめ/エン beautiful woman
秀,ひい∙でる/シュウ excel
顛,いただき/テン overturn
荷,に/カ baggage
稀,まれ/キ rare
畑,はた farm
践,ふ∙む/セン tread
能,よ∙く/ノウ ability
壞,こわ∙す/カイ demolition
戴,いただ∙く/タイ be crowned with
奏,かな∙でる/ソウ play music
薙,な∙ぐ/テイ mow down (the enemy)
滾,たぎ∙る/コン flow
鱈,たら/セツ codfish
趾,あと/シ footprint
就,つ∙く/シュウ concerning
橋,はし/キョウ bridge
蛉,レイ dragonfly
員,イン employee
苧,お/チョ hemp
艦,カン warship
疋,あし/ヒキ head
戈,ほこ/カ halberd
拮,はたら∙く/カツ be imminent
輛,リョウ counter for large vehicles
割,わ∙る/カツ proportion
跨,また∙がる/コ be
騒,さわ∙ぐ/ソウ boisterous
臂,ひじ/ヒ elbow
餞,はなむけ/セン farewell gift
褐,カツ 
御,おん-/ギョ honorable
清,きよ∙い/セイ pure
而,しこ∙うして/ジ rake
樅,もみ/ショウ fir
眸,ひとみ/ボウ pupil of the eye
諜,ちょう∙ずる/チョウ spy out
脱,ぬ∙ぐ/ダツ undress
赦,シャ pardon
徳,トク benevolence
陵,みささぎ/リョウ mausoleum
盃,さかずき/ハイ glass
竿,さお/カン pole
洟,はなしる/イ tear
肩,かた/ケン shoulder
紀,キ chronicle
攪,みだ∙す/カク disturb
糊,のり/コ paste
宋,ソウ dwell
凰,おおとり/コウ female phoenix bird
癡,し∙れる/チ foolish
鮖,かじか bullhead
殺,ころ∙す/サツ kill
逞,たくま∙しい/テイ sturdy
塀,ヘイ fence
縊,くび∙る/イ strangle
魴,かがみたい/ホウ type of sea bream
海,うみ/カイ 
珊,センチ/サン coral
琢,みが∙く/タク polish
鮃,ひらめ/ヒョウ flounder
栞,しおり/カン bookmark
天,あまつ/テン heavens
飼,か∙う/シ domesticate
凋,しぼ∙む/チョウ wither
射,い∙る/シャ shoot
竝,な∙み/ヘイ line up
髭,ひげ/シ beard
画,えが∙く/ガ brush-stroke
遅,おく∙れる/チ slow
匁,もんめ monme
聡,さと∙い/ソウ wise
答,こた∙える/トウ solution
淚,なみだ/ルイ tears
扱,あつか∙い/ソウ handle
永,なが∙い/エイ eternity
班,ハン squad
凄,さむ∙い/セイ uncanny
崩,くず∙れる/ホウ crumble
尿,ニョウ urine
約,つづ∙まる/ヤク promise
暑,あつ∙い/ショ sultry
牧,まき/ボク breed
婿,むこ/セイ bridegroom
週,シュウ week
逡,しりぞ∙く/シュン saunter
請,こ∙う/セイ solicit
黨,なかま/トウ party
駒,こま/ク pony
疆,さかい/キョウ boundary
借,か∙りる/シャク borrow
弗,どる/フツ dollar
忍,しの∙ぶ/ニン endure
綸,いと/リン thread
聯,つら∙なる/レン party
渾,すべ∙て/コン all
簿,ボ register
裏,うら/リ back
滿,み∙ちる/マン fill
懲,こらしめる/チョウ 
略,ほぼ/リャク abbreviation
花,はな/カ flower
閏,うるう/ジュン intercalation
仙,セン hermit
薄,うす∙い/ハク dilute
鈴,すず/レイ small bell
殺, kill
咎,とが∙める/キュウ blame
惧,おそ∙れる/ク fear
替,か∙える/タイ exchange
蚕,かいこ/サン silkworm
酋,おさ/シュウ chieftain
窮,きわ∙める/キュウ hard up
緞,ドン damask
太,ふと∙い/タイ plump
故,ゆえ/コ happenstance
銭,ぜに/セン coin
祭,まつ∙る/サイ ritual
那,なに/ナ what?
俣,また crotch
冒,おか∙す/ボウ risk
塹,ほり/ザン moat
竄,かく∙れる/ザン flee
野,の/ヤ plains
随,まにま∙に/ズイ follow
枇,ビ spoon
潟,かた/セキ lagoon
警,いまし∙める/ケイ admonish
赤,あか/セキ red
舐,ねぶ∙る/シ lick
筋,すじ/キン muscle
徴,しるし/チョウ indications
庇,ひさし/ヒ protect
藻,も/ソウ seaweed
摘,つ∙む/テキ pinch
予,あらかじ∙め/ヨ beforehand
料,リョウ fee
艸,くさ/ソウ grass
綾,あや/リン design
悔,くいる/カイ 
棧,かけはし/サン crosspiece
釀,かも∙す/ジョウ brew
麵,むぎこ/メン flour
亘,わた∙る/コウ span
邉,あた∙り/ヘン edge
惟,おも∙んみる/イ consider
泛,うか∙ぶ/ハン to drift
此,これ/シ this
幟,のぼり/シ flag
敢,あ∙えて/カン daring
井,い/セイ well
裳,も/ショウ skirt
剽,おびや∙かす/ヒョウ threat
悦,よろこ∙ぶ/エツ ecstasy
嘘,うそ/キョ lie
熙,たのし∙む/キ bright
窪,くぼ∙む/ワ depression
梁,はり/リョウ weir
騙,かた∙る/ヘン deceive
窒,チツ plug up
封,フウ seal
便,たよ∙り/ベン convenience
疹,はしか/シン measles
拝,おが∙む/ハイ worship
百,もも/ヒャク hundred
万,よろず/マン ten thousand
碑,ヒ 
笙,ふえ/ショウ a reed instrument
巫,みこ/フ sorcerer
愛,いと∙しい/アイ love
卷,ま∙く/カン volume
啼,な∙く/テイ bark
男,おとこ/ダン male
狂,くる∙う/キョウ lunatic
工,コウ craft
朗, clear
憩,いこ∙い/ケイ recess
粋,いき/スイ chic
黛,まゆずみ/タイ blackened eyebrows
宍,しし/ニク muscles
梅,うめ/バイ 
尼,あま/ニ nun
懣,もだ∙える/マン worry
凡,およ∙そ/ボン commonplace
廬,いお/ロ hermitage
鮪,まぐろ/キ tuna
劇,ゲキ drama
攫,さら∙う/カク abduct
沖,おき/チュウ open sea
蒔,う∙える/シ sow (seeds)
堰,せき/エン dam
拭,ぬぐ∙う/ショク wipe
哨,みはり/ショウ scout
振,ふ∙る/シン shake
聖,ひじり/セイ holy
刻,きざ∙む/コク engrave
娘,むすめ/ジョウ daughter
臨,のぞ∙む/リン look to
餌,え/ジ food
渕,ふち/エン edge
顕,あきらか/ケン appear
撞,つ∙く/ドウ thrust
起,お∙きる/キ rouse
禾,いね/カ two-branch tree radical (no. 115)
惨,みじ∙め/サン wretched
躁,さわ∙ぐ/ソウ noisy
賃,チン fare
儲,もう∙ける/チョ be profitable
兇,おそ∙れる/キョウ wickedness
志,シリング/シ intention
墟,あと/キョ ruins
筏,いかだ/バツ raft
佐,サ assistant
我,われ/ガ ego
七,なな/シチ seven
疾,はや∙い/シツ rapidly
鴉,からす/ア crow
浩,おおき∙い/コウ wide expanse
折,お∙る/セツ fold
錢,ぜに/セン 100th of yen
嫡,チャク legitimate wife
遽,あわ∙てる/キョ fear
孫,まご/ソン grandchild
締,し∙まる/テイ tighten
橫,よこ/オウ across
商,あきな∙う/ショウ make a deal
推,お∙す/スイ conjecture
雜,まじ∙える/ザツ mixed
腑,はらわた/フ viscera
鴨,かも/オウ wild duck
選,えら∙ぶ/セン elect
支,ささ∙える/シ branch
段,ダン grade
寺,てら/ジ Buddhist temple
擔,かつ∙ぐ/タン carry
攻,せ∙める/コウ aggression
杉,すぎ/サン cedar
指,ゆび/シ finger
匹,ひき/ヒツ equal
耶,か/ヤ question mark
揃,そろ∙える/セン be complete
害,ガイ harm
艷,つや/エン luster
肺,ハイ lungs
惰,ダ lazy
潰,つぶ∙す/カイ crush
壱,ひとつ/イチ one (in documents)
関,せき/カン connection
蕪,かぶ/ブ turnip
眩,げん∙す/ゲン faint
祿,さいわ∙い/ロク fief
醐,ゴ boiled butter
薦,すす∙める/セン recommend
尉,イ military officer
腰,こし/ヨウ loins
億,オク hundred million
渚,なぎさ/ショ strand
究,きわ∙める/キュウ research
蓄,たくわ∙える/チク amass
睦,むつ∙まじい/ボク intimate
彈,ひ∙く/ダン bullet
隠,かく∙す/イン conceal
噤,つぐ∙む/キン shut up
蝦,えび/カ shrimp
範,ハン pattern
鯛,たい/チョウ sea bream
唱,とな∙える/ショウ chant
輸,ユ transport
蹄,ひづめ/テイ hoof
動,うご∙く/ドウ move
齒,よわい/シ tooth
迸,ほとばし∙る/ホウ gush out
緩,ゆる∙い/カン slacken
左,ひだり/サ left
滋,ジ nourishing
荊,いばら/ケイ thorn
旭,あさひ/キョク rising sun
属,さかん/ゾク belong
派,ハ faction
蟠,わだかま∙る/ハン coiled up
寅,とら/イン sign of the tiger
零,ぜろ/レイ zero
錫,すず/セキ copper
鉱,あらがね/コウ mineral
移,うつ∙る/イ shift
苛,いじ∙める/カ torment
裁,た∙つ/サイ tailor
己,おのれ/コ self
医,い∙やす/イ doctor
募,つの∙る/ボ recruit
双,ふた/ソウ pair
噂,うわさ/ソン rumor
壓,お∙す/アツ pressure
閥,バツ clique
耐,た∙える/タイ -proof
啜,すす∙る/セツ suck
燕,つばめ/エン swallow (bird)
明,あ∙かり/メイ bright
統,す∙べる/トウ overall
冤,エン false charge
法,のり/ホウ method
杷,つか/ハ kind of rake
顯,あきらか/ケン manifest
繰,く∙る/ソウ winding
粂,くめ used in proper names
憮,いつくし∙む/ブ disappointment
際,きわ/サイ occasion
殘,のこ∙る/ザン leftover
咳,せ∙く/カイ cough
机,つくえ/キ desk
牲,セイ animal sacrifice
娃,うつく∙しい/ア beautiful
蛋,タン barbarian
缺,か∙ける/ケツ lack
緻,こまか∙い/チ fine (i.e. not coarse)
疇,うね/チュウ before
舜,シュン type of morning glory
腺,セン gland
鮠,はえ/カイ dace (carp)
紐,ひも/チュウ string
帖,かきもの/チョウ quire (of paper)
餠,もち/ヘイ rice cake
焙,ほう∙じる/ホウ fire
粉,デシメートル/フン flour
励,はげ∙む/レイ encourage
晚,くれ/バン night
諍,いさか∙う/ソウ quarrel
菫,すみれ/キン the violet
昇,のぼ∙る/ショウ rise up
瘍,かさ/ヨウ swelling
町,まち/チョウ town
司,つかさど∙る/シ director
即,つ∙く/ソク instant
霖,ながあめ/リン long rainy spell
灌,そそ∙ぐ/カン pour
惚,ほけ∙る/コツ fall in love with
筈,はず/カツ notch of an arrow
差,さ∙す/サ distinction
圃,はたけ/ホ garden
嬌,なまめか∙しい/キョウ attractive
八,や/ハチ eight
唾,つば/ダ saliva
糖,トウ sugar
煙,けむ∙る/エン smoke
譬,たと∙える/ヒ illustrate
毒,ドク poison
豊,ゆた∙か/ホウ bountiful
念,ネン wish
碗,こばち/ワン porcelain bowl
屓,キ exerting strength (aikido)
核,カク nucleus
纂,あつ∙める/サン editing
朶,えだ/ダ branch
杏,あんず/キョウ apricot
産,う∙む/サン products
焚,た∙く/フン burn
車,くるま/シャ car
勉,ベン 
